,Name,Rating TA,Rating Glovo,Cuisine Style TA,Cuisine Style Glovo,Number of Reviews TA,Number of Reviews Glovo
0,Bella Venezia,100%,98%,['Italian'],['Pizza'],102,207
143,makis,90%,97%,"['Sushi', 'Asian']",['Japanese'],78,500+
236,Casa Bangla,90%,88%,"['Indian', 'Bangladeshi']",['Indian'],5,65
407,Indian Herbs,100%,95%,"['Indian', 'Healthy']",['Indian'],157,237
408,Sumac & Mambo,100%,89%,"['Barbecue', 'Mediterranean']",['Mediterranean'],542,18
409,Narciso,100%,95%,"['Italian', 'Mediterranean']","['Italian', 'Sandwich']",335,41
410,Tandoori Nights,90%,98%,"['Indian', 'Healthy']",['Indian'],1006,128
411,La Piazzetta GranVia,90%,94%,"['Italian', 'Pizza']",['Pizza'],317,160
412,Gallo Nero,90%,92%,"['Pub', 'Wine Bar']",['Italian'],483,229
413,Tomasso - New York Pizza,90%,96%,['Pizza'],['Pizza'],323,288
414,Piazze D'Italia,90%,94%,"['Pizza', 'Italian']","['Italian', 'Pizza']",2016,180
415,A Tu Bola,90%,99%,"['Fast Food', 'Mediterranean']",['International'],1395,65
416,Gilda by Belgious,90%,90%,"['Mediterranean', 'Spanish']",['International'],1440,26
417,Sagradas Tapas,90%,95%,"['Mediterranean', 'Spanish']",['Mediterranean'],318,312
418,Rasoi,90%,96%,"['Indian', 'Asian']",['Indian'],336,209
419,Pizza Circus,90%,96%,"['Italian', 'Pizza']",['Pizza'],719,500+
420,El Dorado Chicken,90%,93%,"['Peruvian', 'Latin']","['Chicken', 'Latin American']",672,469
421,La Tere Gastrobar,90%,80%,"['Mediterranean', 'European']",['Mediterranean'],354,43
422,Il Mercante Di Venezia,90%,95%,"['Italian', 'Mediterranean']","['Italian', 'Pizza']",899,95
423,Mayura,80%,95%,"['Indian', 'Healthy']","['Asian', 'Indian']",1252,500+
424,Veganashi - Sushi Vegano,100%,93%,"['Japanese', 'Asian']","['Healthy', 'Sushi']",23,58
467,Mako,90%,94%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",311,430
468,Veg World India,90%,97%,"['Indian', 'Healthy']","['Healthy', 'Indian']",434,45
469,La Mundana,90%,97%,"['Mediterranean', 'European']",['Mediterranean'],672,75
470,Buon Appetito,90%,98%,"['Italian', 'Pizza']","['Italian', 'Pizza']",898,29
471,Bopiz,100%,93%,"['Italian', 'Pizza']","['Italian', 'Pizza']",64,500+
472,L'olivera,90%,63%,"['Mediterranean', 'Spanish']","['Mediterranean', 'Sandwich']",505,59
473,Villa Caprice,90%,99%,"['Italian', 'Mediterranean']","['Mediterranean', 'Pizza']",432,10
474,LeccaBaffi,90%,95%,"['Italian', 'Pizza']",['Italian'],388,114
475,Tapas 2254,90%,97%,['Catalan'],"['Brunch', 'Mediterranean']",1217,210
490,Ristorante Margherita,90%,96%,"['Pizza', 'Italian']",['Italian'],2493,111
491,That's Amore,100%,95%,['Italian'],['Pizza'],53,230
492,El Pachuco,90%,94%,"['Mexican', 'Latin']",['Mexican'],1054,500+
493,Fenicia,90%,97%,"['Lebanese', 'Mediterranean']",['Mediterranean'],465,260
494,Sushifresh,90%,93%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",482,197
496,Anauco,90%,91%,['American'],['Burgers'],897,500+
497,Tlaxcal,90%,96%,"['Latin', 'Mexican']",['Mexican'],929,326
498,Teresa Carles,90%,98%,"['Mediterranean', 'European']",['Healthy'],5096,500+
499,Inka Burg,90%,95%,"['American', 'Bar']","['American', 'Burgers']",381,500+
500,Viet Kitchen,90%,97%,"['Asian', 'Vietnamese']",['Asian'],174,14
501,Koku Kitchen Ramen & Gyoza Bar,90%,97%,"['Japanese', 'Asian']",['Japanese'],363,323
502,Croq & Roll,90%,90%,"['Mediterranean', 'European']",['Mediterranean'],238,18
503,SiamoQua,90%,96%,"['Italian', 'Pizza']","['Italian', 'Pizza']",645,83
504,BRO Room,90%,93%,"['Fast Food', 'Argentinean']","['Burgers', 'Vegetarian']",367,209
505,La Malandrina,90%,93%,"['Barbecue', 'Argentinean']",['Latin American'],1020,151
507,La Pizza del Born,80%,95%,"['Pizza', 'Fast Food']",['Pizza'],544,500+
508,Oishii Ramen Street,80%,97%,"['Japanese', 'Asian']",['Asian'],304,260
509,Parking Pizza,80%,96%,"['Italian', 'Pizza']",['Pizza'],464,500+
511,Luigi Ristorante,90%,94%,"['Italian', 'Pizza']","['Italian', 'Pizza']",1537,310
512,Casa Masala,90%,93%,"['Indian', 'Asian']",['Indian'],175,129
513,Tango Grill,90%,94%,"['Steakhouse', 'Grill']",['Latin American'],145,86
514,Out of China,80%,80%,"['Chinese', 'Healthy']",['Asian'],815,500+
515,Matsuri Sushi Bar,90%,87%,"['Japanese', 'Sushi']","['Japanese', 'Sushi']",838,54
516,Greek Aribau,80%,81%,['Greek'],['Mediterranean'],290,78
517,Mon Viet,90%,95%,"['Asian', 'Vietnamese']",['Asian'],277,500+
518,La Capricciosa,80%,91%,"['Italian', 'Pizza']","['Italian', 'Pizza']",553,271
520,Kibuka,80%,96%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",927,500+
522,Acqua & Farina,90%,95%,"['Italian', 'Pizza']","['Italian', 'Pizza']",408,150
523,La Mama Acasa,90%,97%,"['European', 'Eastern European']",['International'],109,143
524,La Muscleria,80%,93%,"['Seafood', 'Mediterranean']",['Mediterranean'],911,38
525,Tapes Barcelona,90%,78%,"['Bar', 'Mediterranean']",['Mediterranean'],248,10
526,Viblioteca,90%,97%,['Wine Bar'],['Mediterranean'],226,182
527,Asador de Aranda,80%,84%,"['European', 'Spanish']",['Mediterranean'],1790,241
530,Forno D'Oro,90%,99%,"['Italian', 'Pizza']",['Pizza'],96,45
531,Thai Bistro 57,90%,93%,"['Asian', 'Thai']","['Asian', 'Thai']",197,424
532,Honest Greens,80%,95%,"['Mediterranean', 'European']",['Healthy'],380,500+
535,Bellillo,90%,96%,"['Italian', 'Neapolitan']","['Italian', 'Pizza']",275,118
536,murivecchi,80%,94%,"['Italian', 'Pizza']","['Italian', 'Pizza']",1025,39
537,La Carioca,90%,95%,"['Brazilian', 'Healthy']","['Burgers', 'Latin American']",252,254
538,La Pala Boqueria,90%,98%,"['Italian', 'Pizza']",['Pizza'],139,147
539,Kasa Ramen,90%,94%,"['Japanese', 'Asian']",['Asian'],127,500+
540,Out of India,90%,93%,['Indian'],['Indian'],140,165
541,Lalola,80%,94%,"['Mediterranean', 'European']",['Pizza'],454,258
542,Bar Bar - The Indian Gastronomia,90%,96%,['Indian'],['Indian'],80,10
543,Hard Rock Cafe,80%,95%,['American'],['Burgers'],4001,241
544,Pizza Local,100%,98%,"['Italian', 'Pizza']","['Italian', 'Pizza']",51,389
545,Baby Jalebi,90%,97%,"['Indian', 'Pakistani']","['Asian', 'Indian']",102,242
546,Dolce Pizza y Los Veganos,90%,98%,"['Italian', 'Pizza']","['Gluten free', 'Italian']",128,113
547,Ovante,90%,95%,['$$ - $$$'],"['American', 'Burgers']",210,172
548,Ruta 40,100%,97%,"['Latin', 'Argentinean']",['Burgers'],84,10
550,Fat Barbies,90%,88%,"['Steakhouse', 'Southwestern']",['Burgers'],176,227
551,Atabalats Gastrobar,90%,99%,"['Mediterranean', 'Spanish']",['Burgers'],90,73
552,Ramen House,90%,95%,"['Japanese', 'Sushi']",['Asian'],160,196
557,Ceviche 103,80%,97%,"['Peruvian', 'Latin']","['Latin American', 'Peruvian']",805,442
558,La Bodegueta,80%,90%,"['Bar', 'Mediterranean']",['Mediterranean'],838,75
559,Soco,80%,99%,"['Italian', 'Pizza']","['Burgers', 'Pizza']",361,64
560,Marina Bay,80%,89%,"['Seafood', 'Mediterranean']","['Mediterranean', 'Paella']",2019,27
561,Restaurante Dhaba,90%,98%,['Indian'],"['Indian', 'International']",79,74
562,Mosquito,80%,94%,"['Chinese', 'Asian']",['Asian'],1357,91
563,Kasarap Filipino Kitchen,100%,98%,"['Filipino', 'Asian']",['Asian'],57,198
564,Tacos Tacos,80%,89%,"['Mexican', 'Bar']",['Mexican'],328,22
565,El Filete Ruso,80%,90%,"['American', 'International']","['Burgers', 'Healthy']",590,134
566,Totoro,80%,95%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",329,447
567,Can Pizza,90%,95%,"['Italian', 'Pizza']","['Italian', 'Pizza']",127,500+
571,La Informal,80%,94%,"['American', 'European']",['Burgers'],356,406
572,Tapas San Miguel,80%,99%,"['Mediterranean', 'European']","['Asian', 'Burgers']",235,13
573,Kawamura,90%,96%,"['Japanese', 'Asian']",['Japanese'],138,49
574,Taverna Italiana,90%,96%,"['Mediterranean', 'Sicilian']",['Pizza'],95,48
575,La Pala Pizza Bar,90%,91%,"['Italian', 'Pizza']",['Pizza'],60,92
576,el tianguis,80%,99%,"['Mexican', 'Latin']",['Mexican'],338,44
577,La Porca,80%,90%,"['International', 'European']",['Burgers'],192,301
578,Red Ant Noodle Bar,80%,77%,"['Japanese', 'Asian']","['Asian', 'Japanese']",439,101
579,Folks Burgers,100%,95%,"['International', 'Street Food']","['American', 'Burgers']",50,500+
581,La Pachuca,90%,97%,"['Mexican', 'Bar']",['Mexican'],90,500+
582,La Bella Napoli,80%,96%,"['Italian', 'Pizza']","['Italian', 'Pizza']",467,98
583,Lara Grill,90%,96%,"['Venezuelan', 'Latin']",['Burgers'],91,235
584,La Adelita Botanero,80%,94%,"['Mexican', 'Latin']",['Mexican'],249,21
585,Restaurante Dolsotbap,90%,97%,"['Asian', 'Korean']",['Asian'],70,359
586,Casa Masana,70%,96%,"['European', 'Spanish']",['Mediterranean'],596,65
587,Memorias de China,80%,93%,"['Chinese', 'Asian']",['Asian'],304,170
588,Wok Dao,80%,98%,"['Chinese', 'Seafood']",['Japanese'],550,61
589,Isabella's,80%,96%,"['Mediterranean', 'Italian']",['Italian'],488,500+
590,Thai Gracia,80%,92%,"['Asian', 'Thai']","['Healthy', 'Thai']",296,96
591,Lady Dumpling,100%,94%,"['Chinese', 'Asian']","['Asian', 'Japanese']",27,213
592,Granja Petitbo,80%,97%,"['Cafe', 'Mediterranean']","['Burgers', 'Sweets']",839,352
593,Gringa,90%,91%,"['Mexican', 'American']",['Burgers'],95,163
594,Rasoi Ghar,100%,97%,['Indian'],['Mediterranean'],33,77
596,Isami,80%,95%,"['Japanese', 'Sushi']",['Japanese'],175,79
597,La Capital,90%,90%,"['American', 'Steakhouse']","['American', 'Burgers']",101,219
598,Craft Pizza,100%,94%,"['Pizza', 'Italian']",['Pizza'],34,191
599,Bao's,100%,92%,['Asian'],['Japanese'],30,84
600,Putxinellis,80%,97%,"['Italian', 'Pizza']","['Pizza', 'Vegan']",163,193
601,Suguru,100%,97%,"['Japanese', 'Sushi']",['Japanese'],26,298
602,Oassis Natural Cooking,80%,85%,"['Pizza', 'European']","['Burgers', 'Pizza']",326,30
603,Green Room,90%,98%,"['Spanish', 'Brew Pub']",['Burgers'],109,118
604,La Villa Sants,80%,94%,"['Italian', 'Pizza']","['Italian', 'Pizza']",247,108
605,Eatmosfera,90%,93%,"['Italian', 'Pizza']","['Italian', 'Pizza']",36,289
606,La Burrata,80%,93%,"['Italian', 'Pizza']","['Italian', 'Pizza']",190,31
607,Solo Pizza,80%,96%,"['Italian', 'Pizza']","['Italian', 'Pizza']",204,181
608,Vegan Junk Food Bar,90%,97%,['American'],"['Burgers', 'Vegan']",63,203
609,The dog is hot,80%,92%,"['American', 'Fast Food']",['American'],158,230
610,Aska Dinya,80%,92%,"['Mediterranean', 'Middle Eastern']",['International'],327,21
611,Ben Tips,80%,96%,"['Bar', 'European']",['Burgers'],192,126
612,Shanghai Stories,90%,94%,"['Chinese', 'Asian']",['Asian'],66,112
613,Bendito Tako,90%,91%,['Mexican'],['Mexican'],53,341
614,Ichiban Ramen & Street Food,90%,92%,"['Japanese', 'Asian']",['International'],33,500+
615,Ugarit 37,90%,93%,['$$ - $$$'],['International'],107,213
616,Nikkei 103,80%,94%,"['Japanese', 'Peruvian']","['Asian', 'Japanese']",209,71
617,L' Olla de Si Chuan,80%,95%,"['Chinese', 'Asian']","['Asian', 'Homemade food']",423,415
618,Un Bocado,80%,95%,"['Sushi', 'Japanese']",['Japanese'],109,315
619,LABARRA Westside,70%,97%,"['Mediterranean', 'European']",['Mediterranean'],1003,256
620,Supra Barcelona,90%,90%,"['Georgian', 'Russian']","['International', 'Pizza']",41,182
621,Rooster & Bubbles,90%,96%,"['Mediterranean', 'Spanish']",['Chicken'],24,210
622,Vapiano,80%,94%,"['Pizza', 'Mediterranean']","['Italian', 'Pizza']",253,386
623,Flash Flash,70%,95%,"['Mediterranean', 'European']","['Homemade food', 'Gourmet']",550,199
624,Vitali Pizza,80%,95%,"['Italian', 'Pizza']",['Pizza'],163,500+
625,Asian Noodles & Sushi,90%,97%,"['Japanese', 'Sushi']","['Asian', 'Japanese']",65,500+
627,Pasta Market Express,100%,86%,"['Italian', 'Mediterranean']","['Italian', 'Pizza']",27,34
628,PizzAmore,100%,88%,"['Italian', 'Pizza']",['Pizza'],37,43
629,Maur Muntaner,80%,94%,"['Mediterranean', 'Pizza']","['Mediterranean', 'Pizza']",216,73
630,OH BO,80%,98%,"['Mediterranean', 'European']",['Healthy'],241,102
631,Pai Mei,90%,97%,"['Asian', 'Japanese']",['Asian'],59,500+
632,Bella Sushi,80%,92%,"['Japanese', 'Sushi']","['Asian', 'Sushi']",65,58
633,La Royale,70%,94%,"['American', 'Bar']",['Burgers'],477,439
634,Dip Dumpling,100%,96%,['Asian'],['Asian'],30,89
635,La Tagliatella,70%,90%,"['Italian', 'Pizza']",['Italian'],459,432
637,Sottovoce,70%,92%,"['Italian', 'Pizza']",['Italian'],227,150
638,Zaatar & Co.,100%,95%,"['Lebanese', 'Mediterranean']","['Arabic', 'International']",16,500+
639,La Lolita,70%,93%,"['Bar', 'European']",['Mediterranean'],194,51
640,Dionisos,70%,92%,"['Mediterranean', 'European']","['Greek', 'International']",338,283
642,Mancora,80%,88%,"['Peruvian', 'Latin']",['International'],99,29
643,La Chelinda,80%,72%,"['Mexican', 'South American']",['Mexican'],150,23
645,El club de la pasta,100%,91%,"['Italian', 'Pizza']",['Pizza'],14,31
646,Nice Spice,80%,92%,"['Indian', 'Asian']","['Asian', 'Indian']",177,155
647,Il Commendatore,70%,97%,"['Italian', 'Pizza']","['Italian', 'Mediterranean']",321,500+
648,Ramen Kumamon,90%,94%,"['Chinese', 'Japanese']",['Japanese'],35,171
649,Kangnam,100%,97%,['$$ - $$$'],['Asian'],15,83
650,Brisa Sin Prisa,70%,97%,"['Bar', 'Mediterranean']",['Mediterranean'],170,148
651,Ramen Dou,90%,93%,"['Chinese', 'Japanese']","['Asian', 'Japanese']",17,16
652,Cantinho Brasileiro,80%,93%,"['Brazilian', 'Bar']","['Latin American', 'Mediterranean']",82,201
653,Secrets by Farga,90%,95%,['Mediterranean'],"['Healthy', 'Mediterranean']",32,500+
